	Locus	prob	log10(PO)	qval	alpha	fst
356	Gm0480_0394	0.0086017	-2.0617	0.80339	-0.0038509	0.016642
357	cgpGmo-S597	0.027606	-1.5468	0.52647	-0.028786	0.016413
358	cgpGmo-S2104	0.0056011	-2.2493	0.85672	0.00046552	0.016697
359	cgpGmo-S1760	0.0076015	-2.1158	0.81972	-0.0014517	0.016671
360	cgpGmo-S1698	0.004801	-2.3166	0.86756	-0.0013314	0.016665
361	cgpGmo-S980	0.018204	-1.7319	0.66248	-0.016565	0.016526
362	Gm0986_0621	0.028406	-1.5341	0.51474	-0.032239	0.016384
363	cgpGmo-S410	0.005201	-2.2816	0.86313	0.00083173	0.016698
364	cgpGmo-S1610b	0.0064013	-2.1909	0.84273	-0.00012902	0.016691
365	cgpGmo-S1399a	0.05181	-1.2625	0.33656	-0.073175	0.016082
366	cgpGmo-S1668	0.042208	-1.3559	0.40703	-0.059402	0.016206
367	cgpGmo-S1212	0.0054011	-2.2652	0.86	-0.00068029	0.016679
368	cgpGmo-S1724	0.0064013	-2.1909	0.84273	-0.00077801	0.016679
369	cgpGmo-S1082	0.0074015	-2.1275	0.82415	-0.0052062	0.016628
370	cgpGmo-S2154	0.0094019	-2.0227	0.78829	0.00029897	0.01671
371	cgpGmo-S36a	0.009802	-2.0044	0.77982	0.0057374	0.016829
372	cgpGmo-S2002	0.012202	-1.9082	0.75126	-0.0077465	0.016597
373	cgpGmo-S1008	0.0036007	-2.442	0.87346	-5.15E-05	0.01668
374	cgpGmo-S1715	0.010802	-1.9618	0.76573	0.0063315	0.016845
375	cgpGmo-S2162	0.0076015	-2.1158	0.81972	0.0017179	0.016723
376	cgpGmo-S578	0.0086017	-2.0617	0.80339	-0.003856	0.016642
377	cgpGmo-S72	0.0070014	-2.1518	0.83144	0.002943	0.016745
378	cgpGmo-S1503	0.0090018	-2.0417	0.79612	-0.00564	0.01662
379	cgpGmo-S261b	0.0096019	-2.0135	0.78298	-0.0064859	0.016618
380	cgpGmo-S406	0.0054011	-2.2652	0.86	-0.00039019	0.016678
381	cgpGmo-S1959	0.996	2.3961	0.00045204	1.1672	0.050684
382	cgpGmo-S2221	0.028006	-1.5404	0.51872	-0.033764	0.016391
383	cgpGmo-S1111	1	1000	0	1.4022	0.062159
384	cgpGmo-S1467	1	1000	0	2.0754	0.1071
385	cgpGmo-S87	0.0054011	-2.2652	0.86	-0.0009403	0.016679
386	cgpGmo-S1158	0.0062012	-2.2048	0.84648	0.00018049	0.016689
387	cgpGmo-S893	0.0096019	-2.0135	0.78298	-0.0041093	0.016644
388	cgpGmo-S1093	0.005201	-2.2816	0.86313	0.00076738	0.01672
389	cgpGmo-S1998	0.010602	-1.97	0.76753	-0.0059533	0.016627
390	cgpGmo-S416b	0.0076015	-2.1158	0.81972	0.0030095	0.016751
391	cgpGmo-S752a	0.022805	-1.632	0.60151	0.017719	0.017144
392	cgpGmo-S715	0.016403	-1.7779	0.67881	0.011905	0.016993
393	cgpGmo-S1902	0.0058012	-2.234	0.85399	-0.0012331	0.016667
394	cgpGmo-S1905	1	1000	0	1.3789	0.060847
395	cgpGmo-S32	0.0076015	-2.1158	0.81972	-0.0041376	0.016642
396	cgpGmo-S746	0.0064013	-2.1909	0.84273	0.00015523	0.016693
397	cgpGmo-S675b	0.0062012	-2.2048	0.84648	-0.0019067	0.016655
398	cgpGmo-S1106	0.013003	-1.8803	0.73774	0.00862	0.016892
399	cgpGmo-S1751	0.005201	-2.2816	0.86313	0.0022362	0.016728
400	cgpGmo-S977	0.16503	-0.7041	0.11363	0.17692	0.021624
401	cgpGmo-S1808	0.0046009	-2.3352	0.8694	0.00071662	0.016698
402	cgpGmo-S1025	0.0086017	-2.0617	0.80339	0.0047065	0.016785
403	cgpGmo-S302	0.005001	-2.2988	0.86553	0.00043939	0.016706
404	cgpGmo-S693	1	1000	0	1.6992	0.079613
405	cgpGmo-S1907	0.0060012	-2.2191	0.85079	-0.0013919	0.01667
406	cgpGmo-S1731	0.005201	-2.2816	0.86313	0.00032574	0.016694
407	cgpGmo-S1442	0.0074015	-2.1275	0.82415	-0.0040101	0.016648
408	cgpGmo-S1662	0.0062012	-2.2048	0.84648	-0.002914	0.016655
409	cgpGmo-S897	0.058412	-1.2074	0.30514	-0.085414	0.016005
410	cgpGmo-S225a	0.0086017	-2.0617	0.80339	-0.0052391	0.016625
411	cgpGmo-S1399b	0.016003	-1.7888	0.68722	-0.015066	0.016553
412	cgpGmo-S2189	0.0092018	-2.0321	0.79264	-0.0018726	0.016678
413	cgpGmo-S196	0.010402	-1.9783	0.76975	0.005324	0.016799
414	cgpGmo-S872a	0.024405	-1.6018	0.57122	-0.027244	0.016452
415	cgpGmo-S1297a	0.0068014	-2.1644	0.83597	-0.0028898	0.016648
416	cgpGmo-S424	0.014203	-1.8414	0.722	-0.010863	0.016585
417	cgpGmo-S2175	0.023805	-1.6129	0.58331	-0.025191	0.016449
418	cgpGmo-S287b	0.53831	0.066678	0.033172	0.68145	0.037715
419	cgpGmo-S905	0.0094019	-2.0227	0.78829	-0.0072239	0.01661
420	cgpGmo-S1810	1	1000	0	1.4128	0.063189
421	cgpGmo-S1281	0.026405	-1.5667	0.54478	-0.028532	0.016429
422	cgpGmo-S2110	0.0062012	-2.2048	0.84648	0.001161	0.016707
423	cgpGmo-S1552a	0.0074015	-2.1275	0.82415	-0.0031251	0.016646
424	cgpGmo-S577	0.0058012	-2.234	0.85399	0.0025337	0.016743
425	cgpGmo-S512	0.017403	-1.7517	0.67176	-0.016072	0.01653
426	cgpGmo-S1377	0.0084017	-2.072	0.80621	0.0011931	0.01671
427	cgpGmo-S922	0.0066013	-2.1775	0.83857	0.0021241	0.016728
428	cgpGmo-S1883	0.039408	-1.387	0.42449	0.053965	0.018654
429	cgpGmo-S1620	0.0096019	-2.0135	0.78298	-0.0081947	0.016603
430	cgpGmo-S268	0.9994	3.2215	7.10E-05	1.3645	0.060672
431	cgpGmo-S1904	1	1000	0	1.4198	0.0632
432	cgpGmo-S18	0.012402	-1.9011	0.74867	-0.012186	0.016563
433	cgpGmo-S271	0.0036007	-2.442	0.87346	-0.00014131	0.01668
434	cgpGmo-S1221b	0.030406	-1.5036	0.49817	-0.036266	0.01636
435	cgpGmo-S1936	0.0090018	-2.0417	0.79612	-0.0045431	0.016629
436	cgpGmo-S1874	1	1000	0	3.0157	0.20828
437	cgpGmo-S523	1	1000	0	1.74	0.082345
438	cgpGmo-S1655	0.0056011	-2.2493	0.85672	0.002206	0.01673
439	cgpGmo-S1312	0.017403	-1.7517	0.67176	-0.01765	0.016515
440	cgpGmo-S1336	0.005201	-2.2816	0.86313	0.0012427	0.016708
441	cgpGmo-S1273	0.0064013	-2.1909	0.84273	-0.0013064	0.016667
442	cgpGmo-S990	0.0064013	-2.1909	0.84273	0.0032503	0.01676
443	cgpGmo-S657a	0.0094019	-2.0227	0.78829	-0.0065387	0.01662
444	cgpGmo-S1609a	0.0056011	-2.2493	0.85672	-0.00032256	0.016683
445	cgpGmo-S1608	0.0084017	-2.072	0.80621	0.0045291	0.0168
446	cgpGmo-S1224	0.0090018	-2.0417	0.79612	0.0024003	0.016738
447	cgpGmo-S2121	0.055811	-1.2283	0.31727	-0.085166	0.016012
448	cgpGmo-S137	0.032807	-1.4696	0.48271	-0.045066	0.016309
449	cgpGmo-S1744	0.012803	-1.8871	0.74333	-0.011423	0.016571
450	cgpGmo-S553	0.011802	-1.9229	0.75677	0.0069988	0.01685
451	cgpGmo-S190	0.004801	-2.3166	0.86756	-0.001554	0.016663
452	cgpGmo-S946	0.0058012	-2.234	0.85399	0.0023032	0.016735
453	cgpGmo-S1392	0.014603	-1.8292	0.71407	-0.011986	0.016566
454	cgpGmo-S183	0.011602	-1.9304	0.75919	0.0067082	0.016838
455	cgpGmo-S338b	0.0082016	-2.0825	0.80925	-0.0043954	0.016637
456	cgpGmo-S2139	0.988	1.9155	0.0012654	1.267	0.055933
457	cgpGmo-S1167	0.9908	2.0321	0.00092549	1.3267	0.058874
458	cgpGmo-S1342	0.0084017	-2.072	0.80621	0.0035668	0.016762
459	cgpGmo-S1200	1	1000	0	1.4394	0.064047
460	cgpGmo-S614b	0.40908	-0.15972	0.061201	0.48795	0.031138
461	cgpGmo-S1737	0.014403	-1.8353	0.72006	0.0075053	0.016901
462	cgpGmo-S1017	1	1000	0	1.8302	0.088493
463	Gm1225_0475	0.005201	-2.2816	0.86313	0.00016312	0.016687
464	cgpGmo-S1853	1	1000	0	2.7383	0.17303
465	cgpGmo-S1577	0.013603	-1.8604	0.72889	-0.013014	0.016558
466	cgpGmo-S729	0.0058012	-2.234	0.85399	-2.35E-05	0.01669
467	cgpGmo-S720	0.005001	-2.2988	0.86553	-0.0019265	0.016661
468	cgpGmo-S469	0.029806	-1.5126	0.5066	-0.033493	0.016383
469	cgpGmo-S518	0.0068014	-2.1644	0.83597	-0.0041938	0.016631
470	cgpGmo-S99	0.004801	-2.3166	0.86756	0.00054118	0.016695
471	cgpGmo-S607	1	1000	0	1.7737	0.084368
472	cgpGmo-S245b	0.019804	-1.6946	0.639	-0.021399	0.01648
473	cgpGmo-S676	0.0080016	-2.0933	0.81133	-0.0015866	0.016677
474	cgpGmo-S1899	0.044409	-1.3328	0.39165	0.038582	0.017706
475	Gm0588_0274	0.9998	3.6988	1.45E-05	1.3613	0.060007
476	cgpGmo-S509	0.0046009	-2.3352	0.8694	-0.00096275	0.016672
477	cgpGmo-S1563	0.021204	-1.6643	0.6218	-0.020966	0.016489
478	cgpGmo-S315	0.0036007	-2.442	0.87346	-0.00071698	0.016674
479	cgpGmo-S465	0.0072014	-2.1394	0.8286	-0.0016231	0.016658
480	cgpGmo-S184	0.0042008	-2.3748	0.87078	0.0011349	0.016706
481	cgpGmo-S1865	0.0040008	-2.3961	0.872	0.00048838	0.016692
482	cgpGmo-S1217	0.034007	-1.4534	0.47812	-0.045367	0.016307
483	cgpGmo-S1031	0.0070014	-2.1518	0.83144	-0.00010297	0.016702
484	Gm1063_0134	0.0058012	-2.234	0.85399	0.0029735	0.016754
485	cgpGmo-S1956	0.010002	-1.9955	0.7749	-0.0065825	0.016614
486	cgpGmo-S452	0.0096019	-2.0135	0.78298	-0.0039929	0.016654
487	cgpGmo-S593	0.0058012	-2.234	0.85399	0.0030352	0.016755
488	cgpGmo-S1328	0.013603	-1.8604	0.72889	0.007841	0.016871
489	cgpGmo-S2202	0.014803	-1.8232	0.70923	-0.012048	0.016561
490	Gm1265_0606	0.0044009	-2.3545	0.87009	0.00069599	0.016695
491	cgpGmo-S1239	0.9974	2.5838	0.00029869	1.3208	0.058335
492	cgpGmo-S129	0.013603	-1.8604	0.72889	-0.011887	0.016571
493	cgpGmo-S2153	0.9994	3.2215	7.10E-05	1.328	0.058575
494	cgpGmo-S434b	0.0064013	-2.1909	0.84273	0.0020312	0.016722
495	cgpGmo-S1702	0.0056011	-2.2493	0.85672	-0.0023306	0.01666
496	cgpGmo-S1909	0.012803	-1.8871	0.74333	-0.011038	0.016573
497	cgpGmo-S1773	0.0054011	-2.2652	0.86	-0.0012021	0.016672
498	cgpGmo-S245a	0.012402	-1.9011	0.74867	-0.010955	0.016574
499	cgpGmo-S1839	0.0054011	-2.2652	0.86	0.001289	0.016717
500	cgpGmo-S658	0.0044009	-2.3545	0.87009	0.00036909	0.016689
501	cgpGmo-S2146	0.012002	-1.9155	0.75379	-0.0087016	0.0166
502	cgpGmo-S791	0.0078016	-2.1044	0.81478	-0.0043055	0.016643
503	cgpGmo-S1649	0.016203	-1.7833	0.68223	-0.015364	0.016528
504	cgpGmo-S967a	0.017403	-1.7517	0.67176	-0.018146	0.016515
505	Gm330_0290	0.019404	-1.7036	0.64754	-0.02109	0.016501
506	cgpGmo-S254	1	1000	0	1.898	0.09344
507	Anti_1	0.027606	-1.5468	0.52647	0.022786	0.017259
508	cgpGmo-S1321	0.0058012	-2.234	0.85399	-0.00071885	0.016674
509	cgpGmo-S576	0.042809	-1.3495	0.3979	-0.059315	0.016206
510	cgpGmo-S381	0.014203	-1.8414	0.722	-0.010508	0.01657
511	cgpGmo-S449a	0.027806	-1.5436	0.52263	-0.033561	0.016395
512	cgpGmo-S502	0.0078016	-2.1044	0.81478	-0.0037161	0.016648
513	cgpGmo-S1201	0.082817	-1.0443	0.21192	0.094268	0.019481
514	cgpGmo-S580	0.0096019	-2.0135	0.78298	-0.00859	0.016595
515	cgpGmo-S1898	0.011602	-1.9304	0.75919	0.0076047	0.016875
516	cgpGmo-S844	0.0060012	-2.2191	0.85079	0.00038824	0.016697
517	Gm0627_0302	0.014403	-1.8353	0.72006	-0.011131	0.016565
518	cgpGmo-S2044	0.0080016	-2.0933	0.81133	-0.0034976	0.016639
519	cgpGmo-S1014b	0.020604	-1.677	0.63231	-0.020234	0.016487
520	Gm310_0375	0.0092018	-2.0321	0.79264	-0.0053238	0.016625
521	cgpGmo-S621	0.0056011	-2.2493	0.85672	0.0025613	0.016737
522	cgpGmo-S306b	0.04921	-1.286	0.35126	-0.07343	0.016102
523	cgpGmo-S747	0.0074015	-2.1275	0.82415	0.0013665	0.01672
524	cgpGmo-S703	0.19044	-0.6285	0.10133	-0.3513	0.01413
525	cgpGmo-S197a	0.0092018	-2.0321	0.79264	-0.0067296	0.016611
526	cgpGmo-S1859	0.009802	-2.0044	0.77982	-0.0070141	0.016608
527	cgpGmo-S810	0.0066013	-2.1775	0.83857	-0.0037785	0.016638
528	cgpGmo-S1974	0.005201	-2.2816	0.86313	0.00073121	0.016701
529	cgpGmo-S528	0.043009	-1.3474	0.3948	0.042167	0.017852
530	cgpGmo-S1673	0.0064013	-2.1909	0.84273	-0.0011448	0.016685
531	cgpGmo-S204	0.0076015	-2.1158	0.81972	-0.0035858	0.016647
532	cgpGmo-S321	0.0066013	-2.1775	0.83857	-0.0036079	0.016647
533	cgpGmo-S158b	0.015603	-1.8	0.69441	-0.016925	0.016537
534	cgpGmo-S2017	0.004801	-2.3166	0.86756	0.00030301	0.01669
535	cgpGmo-S1826	0.020804	-1.6727	0.62888	-0.022079	0.016474
536	cgpGmo-S335	0.025805	-1.5769	0.55675	-0.030995	0.016413
537	Gm1205_0365	0.056411	-1.2234	0.30924	-0.088638	0.015999
538	cgpGmo-S675a	0.0072014	-2.1394	0.8286	0.0011415	0.016707
539	cgpGmo-S1091	0.0040008	-2.3961	0.872	-0.0014379	0.016664
540	cgpGmo-S1769	0.0092018	-2.0321	0.79264	-0.0062941	0.016611
541	cgpGmo-S1070	0.0064013	-2.1909	0.84273	0.0039076	0.01677
542	cgpGmo-S1701	0.0056011	-2.2493	0.85672	-0.00057855	0.016678
543	cgpGmo-S1193	0.022004	-1.6478	0.61193	0.017512	0.017128
544	cgpGmo-S300	0.04921	-1.286	0.35126	-0.078546	0.016079
545	cgpGmo-S737	0.0078016	-2.1044	0.81478	-0.0011411	0.016684
546	cgpGmo-S665	0.019604	-1.6991	0.64225	-0.019012	0.016499
547	cgpGmo-S1326	0.025005	-1.591	0.56809	-0.026974	0.016439
548	cgpGmo-S458a	0.005201	-2.2816	0.86313	0.0012124	0.016712
549	cgpGmo-S1749	0.25585	-0.46367	0.089363	0.30146	0.025497
550	Gm1108_0332	0.014803	-1.8232	0.70923	-0.014057	0.016542
551	cgpGmo-S1888	0.039608	-1.3847	0.41879	-0.052693	0.016244
552	LDHB	0.0092018	-2.0321	0.79264	-0.0055893	0.016626
553	cgpGmo-S1423a	0.0072014	-2.1394	0.8286	-0.0022469	0.016659
554	cgpGmo-S150	0.0042008	-2.3748	0.87078	-0.00044195	0.016677
555	cgpGmo-S694	0.44769	-0.091206	0.051623	0.56956	0.034259
556	cgpGmo-S1762	0.0074015	-2.1275	0.82415	-0.0043685	0.016636
557	cgpGmo-S1814	0.021004	-1.6685	0.62537	-0.021	0.016491
558	cgpGmo-S552	0.0092018	-2.0321	0.79264	-0.0072837	0.016615
559	cgpGmo-S1219b	0.023605	-1.6166	0.58909	-0.025061	0.016456
560	cgpGmo-S327	0.0086017	-2.0617	0.80339	0.0028355	0.016757
561	cgpGmo-S1127	0.045209	-1.3247	0.38528	0.037981	0.017645
562	cgpGmo-S2166	0.012803	-1.8871	0.74333	-0.010771	0.016575
563	cgpGmo-S422	0.0042008	-2.3748	0.87078	0.00095911	0.016701
564	cgpGmo-S1768	0.13043	-0.82394	0.13211	0.14857	0.020967
565	cgpGmo-S1844	0.0090018	-2.0417	0.79612	-0.0065295	0.016616
566	cgpGmo-S582	0.015203	-1.8114	0.70052	-0.014292	0.01655
567	cgpGmo-S1712	0.054611	-1.2383	0.32512	0.046335	0.017857
568	cgpGmo-S142	0.0072014	-2.1394	0.8286	0.0030624	0.016766
569	cgpGmo-S976a	0.0054011	-2.2652	0.86	-0.0012316	0.016672
570	cgpGmo-S1607	0.0074015	-2.1275	0.82415	-0.0014333	0.016675
571	Gm0999_0102	0.014803	-1.8232	0.70923	-0.011635	0.016575
572	cgpGmo-S2015	0.995	2.2988	0.00055707	1.3168	0.058404
573	cgpGmo-S2087	0.014803	-1.8232	0.70923	-0.013845	0.016547
574	cgpGmo-S434a	0.017403	-1.7517	0.67176	-0.018342	0.016517
575	cgpGmo-S754	0.025805	-1.5769	0.55675	-0.026151	0.016446
576	cgpGmo-S716	0.013603	-1.8604	0.72889	-0.012368	0.016564
577	cgpGmo-S328	0.0056011	-2.2493	0.85672	-0.0021281	0.016658
578	cgpGmo-S1178	0.9994	3.2215	7.10E-05	1.5532	0.071438
579	cgpGmo-S1098	0.9998	3.6988	1.45E-05	1.4317	0.063752
580	Gm349_1196	0.0076015	-2.1158	0.81972	0.0034242	0.016763
581	HbBeta1_1	0.016803	-1.7672	0.67795	-0.018067	0.016524
582	cgpGmo-S2035	0.014803	-1.8232	0.70923	-0.015336	0.016548
583	cgpGmo-S357	0.035807	-1.4302	0.46386	0.035732	0.017677
584	cgpGmo-S2122	0.058412	-1.2074	0.30514	0.05592	0.018227
585	cgpGmo-S1469	0.023205	-1.6242	0.59471	-0.023133	0.016472
586	cgpGmo-S178	0.081616	-1.0512	0.21711	-0.13399	0.01567
587	cgpGmo-S682	0.0068014	-2.1644	0.83597	0.0029403	0.016747
588	cgpGmo-S466	0.005201	-2.2816	0.86313	-0.0003897	0.016678
589	cgpGmo-S1256a	0.0070014	-2.1518	0.83144	0.0012199	0.016718
590	Gm0250_0086	0.0068014	-2.1644	0.83597	-0.00065925	0.016678
591	cgpGmo-S759	0.9996	3.3977	3.45E-05	1.5177	0.069225
592	cgpGmo-S967b	0.0056011	-2.2493	0.85672	-0.0019056	0.016666
593	cgpGmo-S1919	0.009802	-2.0044	0.77982	0.0042792	0.016802
594	cgpGmo-S923	0.023605	-1.6166	0.58909	-0.024295	0.016456
595	cgpGmo-S2255	0.012202	-1.9082	0.75126	-0.011804	0.016571
596	cgpGmo-S1935	0.020204	-1.6857	0.63569	-0.019527	0.016498
597	cgpGmo-S1438	0.017003	-1.762	0.67708	-0.017722	0.016515
598	Gm1154_0166	0.025205	-1.5874	0.56491	-0.027276	0.016432
599	cgpGmo-S78	0.88618	0.89129	0.0067024	1.0408	0.047179
600	cgpGmo-S1725	0.026805	-1.56	0.53763	0.025419	0.017437
601	cgpGmo-S1689	0.0072014	-2.1394	0.8286	-0.003162	0.016653
602	cgpGmo-S429	0.047009	-1.3069	0.36874	-0.066019	0.016145
603	cgpGmo-S1455	0.0046009	-2.3352	0.8694	0.0014755	0.016711
604	cgpGmo-S1665	0.0068014	-2.1644	0.83597	-0.0038468	0.016635
605	Gm0399_0241	0.0080016	-2.0933	0.81133	0.0034608	0.016763
606	cgpGmo-S171	0.0058012	-2.234	0.85399	0.0017668	0.016729
607	cgpGmo-S1781	0.081416	-1.0524	0.22223	0.079407	0.018822
608	Gm_cyp19a1a_1_9	0.019404	-1.7036	0.64754	-0.021538	0.016498
609	cgpGmo-S397	0.045409	-1.3227	0.38205	0.052454	0.018325
610	cgpGmo-S719	0.0082016	-2.0825	0.80925	-0.0022896	0.016652
611	cgpGmo-S1942	0.005001	-2.2988	0.86553	-8.88E-05	0.016681
612	cgpGmo-S932b	0.023805	-1.6129	0.58331	-0.025127	0.016447
613	cgpGmo-S1740	0.035007	-1.4404	0.47109	-0.041342	0.016315
614	cgpGmo-S814a	0.999	2.9995	0.00011387	1.2709	0.055703
615	cgpGmo-S854b	0.0072014	-2.1394	0.8286	0.0030422	0.016749
616	cgpGmo-S185	0.0082016	-2.0825	0.80925	-0.0047326	0.016631
617	cgpGmo-S544	0.0074015	-2.1275	0.82415	0.0038289	0.016769
618	cgpGmo-S1344	0.005001	-2.2988	0.86553	0.0010027	0.016702
619	cgpGmo-S390b	0.012603	-1.894	0.74495	0.0088863	0.0169
620	cgpGmo-S904	0.0060012	-2.2191	0.85079	-0.0020962	0.016659
621	Gm0286_0449	0.0094019	-2.0227	0.78829	0.0021688	0.016746
622	Gm0433_0214	0.0046009	-2.3352	0.8694	0.0015531	0.016714
623	cgpGmo-S136	0.022805	-1.632	0.60151	-0.021858	0.016482
624	cgpGmo-S689	0.0062012	-2.2048	0.84648	0.0020276	0.016724
625	Gm_lhcgr_1_1	0.022204	-1.6438	0.60938	-0.021672	0.016474
626	cgpGmo-S1955	1	1000	0	2.9973	0.20582
627	cgpGmo-S1735	0.054811	-1.2367	0.32122	0.057718	0.018318
628	cgpGmo-S861	0.005001	-2.2988	0.86553	0.000732	0.016698
629	cgpGmo-S1926	0.042208	-1.3559	0.40703	-0.060741	0.016198
630	Gm1103_0238	0.019404	-1.7036	0.64754	-0.020021	0.016496
631	cgpGmo-S408	0.035207	-1.4378	0.4663	-0.045656	0.016285
632	cgpGmo-S2269	0.0068014	-2.1644	0.83597	0.00074272	0.016712
633	cgpGmo-S877	0.0074015	-2.1275	0.82415	-0.0026925	0.016656
634	cgpGmo-S1306	0.0088018	-2.0516	0.80048	-0.0044717	0.016641
635	cgpGmo-S827	0.020604	-1.677	0.63231	-0.023525	0.016474
636	cgpGmo-S2157	0.0082016	-2.0825	0.80925	0.0018543	0.01673
637	cgpGmo-S613b	0.019004	-1.7128	0.65267	0.018317	0.017216
638	Gm0492_0218	0.012402	-1.9011	0.74867	-0.0082147	0.016595
639	cgpGmo-S1944	0.071814	-1.1114	0.23237	-0.1114	0.015812
640	cgpGmo-S1823	0.0056011	-2.2493	0.85672	0.0019971	0.016723
641	cgpGmo-S2101	0.0040008	-2.3961	0.872	0.00060852	0.016692
642	cgpGmo-S193	0.017203	-1.7568	0.67266	-0.015731	0.016526
643	cgpGmo-S1730	0.063413	-1.1694	0.26601	-0.095935	0.015942
644	Gm1365_0447	0.014403	-1.8353	0.72006	-0.013451	0.016557
645	cgpGmo-S972	0.015603	-1.8	0.69441	-0.013504	0.016552
646	cgpGmo-S1265b	0.0082016	-2.0825	0.80925	-0.004695	0.016632
647	cgpGmo-S1009	0.91978	1.0594	0.0055628	1.0577	0.047367
648	cgpGmo-S1284	0.009802	-2.0044	0.77982	0.0045805	0.016794
649	cgpGmo-S1001	0.0068014	-2.1644	0.83597	-0.0026546	0.016651
650	cgpGmo-S1206	0.056211	-1.2251	0.31328	-0.078524	0.016043
651	cgpGmo-S755	1	1000	0	2.1933	0.11669
652	cgpGmo-S248a	0.0068014	-2.1644	0.83597	-0.00091066	0.016677
653	cgpGmo-S830	0.0076015	-2.1158	0.81972	-0.0026389	0.016656
654	cgpGmo-S1733	0.92238	1.075	0.0047601	1.1086	0.049678
655	cgpGmo-S1663	0.0080016	-2.0933	0.81133	-0.0017195	0.016673
656	cgpGmo-S71	0.025405	-1.5839	0.5633	-0.029652	0.016426
657	cgpGmo-S1280	0.022605	-1.6359	0.60284	-0.025097	0.01646
658	cgpGmo-S1806	0.05021	-1.2768	0.34399	0.04896	0.018037
659	cgpGmo-S1889	0.011802	-1.9229	0.75677	-0.010554	0.016579
660	cgpGmo-S973	0.0062012	-2.2048	0.84648	-0.0014737	0.016662
661	Gm1090_0134	0.005001	-2.2988	0.86553	0.0011768	0.016707
662	cgpGmo-S2281	0.010402	-1.9783	0.76975	-0.007086	0.016608
663	cgpGmo-S822a	1	1000	0	2.5022	0.14674
664	cgpGmo-S514	0.013003	-1.8803	0.73774	-0.011428	0.016569
665	cgpGmo-S1766	0.0060012	-2.2191	0.85079	-0.0022657	0.016652
666	cgpGmo-S1256b	0.10362	-0.93705	0.16787	0.10929	0.019734
667	cgpGmo-S2231	0.0054011	-2.2652	0.86	0.0019066	0.016721
668	cgpGmo-S1255a	0.025605	-1.5804	0.56005	0.021523	0.017271
669	cgpGmo-S579	0.019404	-1.7036	0.64754	-0.019184	0.016512
670	cgpGmo-S1077b	0.0076015	-2.1158	0.81972	-0.0028139	0.016654
671	cgpGmo-S1943	0.0094019	-2.0227	0.78829	-0.0059922	0.016623
672	cgpGmo-S2288	0.9986	2.8532	0.00014928	1.446	0.065294
673	Gm_cbr1l2_1	0.010202	-1.9869	0.77278	-0.0042141	0.016659
674	cgpGmo-S541a	0.014403	-1.8353	0.72006	-0.011028	0.016571
675	cgpGmo-S657b	0.0072014	-2.1394	0.8286	-0.002806	0.016651
676	cgpGmo-S2039	0.018804	-1.7175	0.65367	-0.01682	0.01652
677	cgpGmo-S1705	0.0062012	-2.2048	0.84648	0.0014786	0.01671
678	cgpGmo-S1457	0.0078016	-2.1044	0.81478	-0.0015719	0.016668
679	cgpGmo-S2222	0.005201	-2.2816	0.86313	-0.00038265	0.016679
680	cgpGmo-S1030	0.0058012	-2.234	0.85399	-0.00077661	0.016675
681	cgpGmo-S1697	0.021204	-1.6643	0.6218	-0.023623	0.016472
682	cgpGmo-S1242	0.9998	3.6988	1.45E-05	1.5462	0.071049
683	cgpGmo-S1323	0.034207	-1.4508	0.4758	-0.038808	0.016336
684	cgpGmo-S1204	0.0064013	-2.1909	0.84273	0.0022812	0.016734
685	cgpGmo-S561	0.025805	-1.5769	0.55675	-0.031463	0.016406
686	cgpGmo-S1006	0.014803	-1.8232	0.70923	-0.012641	0.016555
687	cgpGmo-S681a	0.0070014	-2.1518	0.83144	-0.0043906	0.016632
688	cgpGmo-S474	0.013003	-1.8803	0.73774	0.0079666	0.01688
689	cgpGmo-S238	0.029206	-1.5217	0.51273	-0.03296	0.0164
690	cgpGmo-S1007	0.0060012	-2.2191	0.85079	-0.0034743	0.016641
691	cgpGmo-S2049	0.0082016	-2.0825	0.80925	0.0033044	0.016772
692	cgpGmo-S1172	0.025005	-1.591	0.56809	-0.026348	0.016437
693	cgpGmo-S1825	0.005201	-2.2816	0.86313	-0.00041471	0.016681
694	cgpGmo-S247	0.0084017	-2.072	0.80621	-0.0042125	0.016642
695	cgpGmo-S258	0.93019	1.1246	0.0039682	1.1503	0.051532
696	cgpGmo-S711b	0.0076015	-2.1158	0.81972	-0.003155	0.016649
697	cgpGmo-S785a	0.016003	-1.7888	0.68722	-0.015576	0.016538
698	cgpGmo-S686b	0.004801	-2.3166	0.86756	-0.00049932	0.016676
699	cgpGmo-S1441	0.9904	2.0135	0.0010288	1.2889	0.057043
700	cgpGmo-S1932	0.036207	-1.4252	0.45893	-0.042672	0.016315
701	cgpGmo-S595	0.0078016	-2.1044	0.81478	-0.0046409	0.016634
702	cgpGmo-S1788	1	1000	0	1.9578	0.097792
703	Gm0610_0137	0.0082016	-2.0825	0.80925	-0.0048568	0.016632
704	cgpGmo-S816a	0.0068014	-2.1644	0.83597	0.0014578	0.016717
705	cgpGmo-S1304b	0.015803	-1.7943	0.69046	-0.015821	0.016535
706	cgpGmo-S2102	0.011602	-1.9304	0.75919	0.0088275	0.016912
707	cgpGmo-S799	0.014603	-1.8292	0.71407	-0.013132	0.016564
708	cgpGmo-S857	0.004801	-2.3166	0.86756	-0.0018374	0.016659
